ID,EDAD, Income ,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Mnt_SUM,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Num_SUM,CMP
1826,51,"84,835",0,0,0,189,104,379,111,189,218,1190,1,4,4,6,1,16,0
1,60,"57,091",0,0,0,464,5,64,7,0,37,577,1,7,3,7,5,23,1
10476,63,"67,267",0,1,0,134,11,59,15,2,30,251,1,3,2,5,2,13,0
1386,54,"32,474",1,1,0,10,0,1,0,0,0,11,1,1,0,2,7,11,0
5371,32,"21,474",1,0,0,6,16,24,11,0,34,91,2,3,1,2,7,15,1
7348,63,"71,691",0,0,0,336,130,411,240,32,43,1192,1,4,7,5,2,19,0
4073,67,"63,564",0,0,0,769,80,252,15,34,65,1215,1,10,10,7,6,34,1
1991,54,"44,931",0,1,0,78,0,11,0,0,7,96,1,2,1,3,5,12,0
4047,67,"65,324",0,1,0,384,0,102,21,32,5,544,3,6,2,9,4,24,0
9477,67,"65,324",0,1,0,384,0,102,21,32,5,544,3,6,2,9,4,24,0
2079,74,"81,044",0,0,0,450,26,535,73,98,26,1208,1,5,6,10,1,23,0
5642,42,"62,499",1,0,0,140,4,61,0,13,4,222,2,3,1,6,4,16,0
10530,62,"67,786",0,0,0,431,82,441,80,20,102,1156,1,3,6,6,1,17,0
2964,40,"26,872",0,0,0,3,10,8,3,16,32,72,1,1,1,2,6,11,0
10311,52,"4,428",0,1,0,16,4,12,2,4,321,359,0,25,0,0,1,26,0
837,44,"54,809",1,1,0,63,6,57,13,13,22,174,4,2,1,5,4,16,0
10521,44,"54,809",1,1,0,63,6,57,13,13,22,174,4,2,1,5,4,16,0
10175,63,"32,173",0,1,0,18,0,2,0,0,2,22,1,1,0,3,4,9,0
1473,61,"47,823",0,1,0,53,1,5,2,1,10,72,2,2,0,3,8,15,0
2795,63,"30,523",2,1,0,5,0,3,0,0,5,13,1,1,0,2,7,11,0
2285,67,"36,634",0,1,0,213,9,76,4,3,30,335,3,5,2,5,7,22,0
115,55,"43,456",0,1,0,275,11,68,25,7,7,393,3,5,1,8,5,22,0
10470,42,"40,662",1,0,0,40,2,23,0,4,23,92,2,2,1,3,4,12,0
4065,45,"49,544",1,0,0,308,0,73,0,0,23,404,2,5,1,8,7,23,0
10968,52,"57,731",0,1,0,266,21,300,65,8,44,704,4,8,8,6,6,32,0
5985,56,"33,168",0,1,0,80,1,37,0,1,3,122,3,2,1,4,7,17,0
5430,65,"54,450",1,1,0,454,0,171,8,19,32,684,12,9,2,8,8,39,0
8432,65,"54,450",1,1,0,454,0,171,8,19,32,684,12,9,2,8,8,39,0
453,65,"35,340",1,1,1,27,0,12,0,1,5,45,2,2,0,3,5,12,0
9687,46,"73,170",0,0,1,184,174,256,50,30,32,726,1,5,4,6,2,18,0
8890,50,"65,808",1,1,1,155,7,80,13,7,10,272,3,5,1,5,6,20,0
9264,35,"79,529",0,0,1,423,42,706,73,197,197,1638,1,4,8,9,2,24,0
5824,49,"34,578",2,1,1,7,0,1,0,0,0,8,1,1,0,2,6,10,0
5794,47,"46,374",0,1,1,408,0,21,0,0,17,446,3,7,1,7,8,26,1
3068,31,"18,351",0,0,1,1,12,9,0,14,7,43,1,2,0,3,7,13,0
7962,34,"95,169",0,0,1,1285,21,449,106,20,20,1901,1,4,3,4,1,13,1
2681,37,"65,370",0,0,1,71,22,112,138,89,29,461,1,2,3,13,1,20,0
10141,61,"39,228",0,0,1,7,1,6,0,3,3,20,1,0,0,3,4,8,0
3725,60,"84,865",0,0,1,1248,16,349,43,16,16,1688,1,2,4,9,4,20,1
3767,53,"61,314",0,1,1,378,0,189,97,172,172,1008,2,5,5,12,3,27,0
5585,49,"21,359",1,0,1,12,2,17,6,1,10,48,2,2,0,3,8,15,0
7030,66,"66,465",0,1,1,1200,0,204,38,29,14,1485,3,11,9,12,6,41,1
1524,38,"81,698",0,0,1,709,45,115,30,160,45,1104,1,8,2,5,5,21,1
3657,35,"39,146",1,0,1,94,1,33,13,12,12,165,3,4,0,4,8,19,0
5740,51,"25,959",1,1,1,4,2,12,7,5,26,56,2,1,2,2,6,13,0
9595,60,"64,260",0,0,1,539,169,816,20,0,30,1574,1,4,5,4,3,17,0
3158,48,"32,300",1,0,1,13,3,6,6,5,6,39,1,1,0,3,8,13,0
5114,56,"74,806",0,1,1,670,9,249,0,28,9,965,2,5,4,5,4,20,0
340,51,"72,967",0,1,1,158,35,179,0,0,125,497,2,7,2,8,5,24,1
8805,61,"48,904",0,1,1,283,10,38,0,13,27,371,4,7,2,4,8,25,0
1241,37,"14,796",1,0,1,13,3,8,7,4,16,51,2,1,0,3,9,15,0
1402,67,"66,991",0,0,1,496,36,460,189,60,12,1253,3,4,8,6,3,24,0
7264,43,"52,195",2,1,2,12,0,4,0,0,1,17,1,1,0,2,8,12,0
1619,65,"90,369",0,0,2,292,51,981,224,23,17,1588,1,4,6,6,1,18,0
6398,47,"18,393",1,0,2,7,10,13,16,0,4,50,2,3,0,3,8,16,0
1857,69,"47,139",1,1,2,46,0,12,0,2,23,83,2,2,1,2,7,14,0
4877,48,"38,576",0,1,2,34,0,7,0,0,0,41,1,1,0,3,7,12,0
3066,46,"61,905",0,1,2,167,0,43,6,2,13,231,2,4,2,4,5,17,0
10286,59,"83,715",0,0,2,318,8,407,150,35,8,926,1,2,8,13,0,24,0
1992,57,"60,597",0,1,2,522,0,257,32,16,66,893,4,2,2,8,7,23,1
4246,39,"6,560",0,0,2,67,11,26,4,3,262,373,0,1,0,1,17,19,0
10623,60,"48,330",0,1,2,28,0,4,0,0,0,32,1,1,0,3,5,10,0
4867,53,"38,236",1,1,2,58,0,18,2,0,10,88,4,3,0,4,7,18,0
3112,44,"22,701",1,0,2,2,4,9,0,4,5,24,1,1,0,3,5,10,0
4865,47,"53,367",1,1,2,229,7,140,10,3,11,400,7,5,1,8,7,28,0
6287,35,"34,728",1,0,2,14,0,16,0,0,6,36,1,1,1,2,6,11,0
4405,65,"63,915",0,2,2,622,7,115,30,0,15,789,2,6,3,12,5,28,0
5332,61,"82,504",0,0,2,362,50,431,134,35,54,1066,1,3,6,7,1,18,0
1519,49,"38,578",1,1,2,38,4,22,3,3,3,73,3,3,0,3,8,17,0
9080,49,"38,578",1,1,2,38,4,22,3,3,3,73,3,3,0,3,8,17,0
1772,46,"79,174",0,0,2,1074,37,518,193,92,129,2043,1,5,6,7,2,21,1
5341,59,"81,975",0,1,2,983,76,184,180,138,27,1588,1,6,3,4,7,21,1
5510,44,"43,263",0,1,2,262,6,61,0,10,102,441,3,5,2,6,5,21,0
3887,51,"27,242",1,0,2,3,17,26,20,1,39,106,2,2,0,3,9,16,0
7022,50,"76,445",1,0,2,739,107,309,140,80,35,1410,1,2,5,13,6,27,0
9999,56,"75,276",0,0,2,610,105,125,137,42,21,1040,1,9,4,9,5,28,0
10352,58,"34,213",1,1,2,50,4,28,6,3,26,117,3,3,1,2,9,18,0
7919,45,"72,335",0,0,2,1285,105,653,28,21,0,2092,1,10,4,8,8,31,0
4114,57,"79,143",0,0,2,650,37,780,27,167,32,1693,1,6,9,13,3,32,0
7990,74,"27,469",0,0,2,9,1,2,3,2,0,17,1,0,0,3,6,10,0
9888,52,"68,695",0,0,3,458,81,356,106,50,40,1091,1,4,4,7,2,18,0
4399,52,"68,695",0,0,3,458,81,356,106,50,40,1091,1,4,4,7,2,18,0
4452,64,"50,388",0,1,3,292,6,37,0,3,34,372,4,6,1,6,7,24,1
4785,51,"77,622",0,2,3,520,7,154,19,0,14,714,2,6,3,11,3,25,0
8461,59,"46,102",2,1,3,14,0,1,0,0,1,16,1,1,0,2,7,11,0
3878,41,"31,859",1,0,3,3,4,7,15,8,11,48,1,1,0,3,7,12,0
9612,34,"23,830",0,0,3,1,8,6,4,8,16,43,1,1,0,3,7,12,0
4098,48,"24,639",1,1,3,20,3,16,0,4,1,44,3,2,0,4,6,15,0
158,76,"71,604",0,0,3,345,53,528,98,75,97,1196,1,8,3,5,4,21,1
3896,37,"27,255",1,0,3,22,1,11,0,1,2,37,1,1,0,3,7,12,0
9970,44,"55,375",0,1,3,42,11,57,10,28,14,162,1,1,1,6,2,11,0
4002,61,"77,037",0,1,3,463,96,333,168,53,10,1123,1,7,7,12,3,30,0
10914,51,"24,163",1,1,3,4,1,7,2,1,2,17,2,1,0,3,4,10,0
7279,52,"69,476",0,0,3,260,86,559,63,9,67,1044,1,4,6,4,2,17,0
10582,42,"72,063",0,1,3,180,32,348,76,32,90,758,2,5,2,12,2,23,0
4470,59,"58,646",0,1,3,62,1,44,6,5,22,140,1,2,1,4,4,12,0
6183,59,"58,646",0,1,3,62,1,44,6,5,22,140,1,2,1,4,4,12,0
6379,72,"47,570",1,1,3,67,1,20,0,2,31,121,3,2,2,2,7,16,0
8601,41,"80,011",0,1,3,421,76,536,82,178,102,1395,2,8,6,5,4,25,0
4827,65,"54,998",0,1,3,154,22,202,39,30,8,455,5,4,2,9,4,24,0
6715,73,"60,200",0,1,3,502,19,132,0,6,26,685,6,6,2,11,6,31,0
10676,39,"63,211",0,0,3,145,193,459,205,26,145,1173,2,3,8,7,2,22,0
1041,48,"48,432",0,1,3,322,3,50,4,3,42,424,5,7,1,6,8,27,0
492,48,"48,432",0,1,3,322,3,50,4,3,42,424,5,7,1,6,8,27,0
11133,48,"48,432",0,1,3,322,3,50,4,3,42,424,5,7,1,6,8,27,0
4491,72,"62,845",1,1,3,1099,0,45,0,0,34,1178,11,3,4,10,8,36,1
873,72,"62,845",1,1,3,1099,0,45,0,0,34,1178,11,3,4,10,8,36,1
1631,56,"65,220",0,0,3,890,63,292,0,25,12,1282,4,8,4,7,6,29,0
8278,31,"74,214",0,0,3,863,83,547,86,99,33,1711,1,8,2,5,5,21,0
6815,41,"96,547",0,0,4,448,21,125,52,101,62,809,0,7,6,8,2,23,1
254,66,"53,863",0,1,4,399,4,30,6,4,30,473,3,7,1,7,7,25,1
1349,51,"50,447",2,0,4,85,7,24,2,3,27,148,1,3,1,3,6,14,0
2534,68,"37,716",0,1,4,97,1,41,6,2,41,188,2,4,1,3,7,17,0
2130,39,"45,203",2,0,4,35,3,67,10,8,24,147,1,3,1,3,6,14,0
2296,46,"37,368",1,0,4,3,2,11,2,2,10,30,1,1,0,2,6,10,1
3799,66,"67,225",0,1,4,315,35,322,46,7,143,868,3,7,2,11,5,28,0
11084,45,"65,104",0,1,4,738,0,232,13,20,50,1053,2,3,5,7,7,24,0
5172,45,"65,104",0,1,4,738,0,232,13,20,50,1053,2,3,5,7,7,24,0
9504,72,"81,698",0,0,4,179,28,520,111,123,47,1008,1,3,8,13,1,26,0
850,53,"70,566",0,1,4,381,28,215,84,28,21,757,2,6,5,9,3,25,0
4477,63,"69,096",0,1,4,247,49,159,7,82,109,653,1,5,2,10,4,22,0
1945,59,"71,434",0,1,4,711,36,217,172,96,168,1400,3,7,4,7,4,25,1
7685,43,"33,039",1,0,4,30,8,12,8,8,12,78,1,2,0,4,5,12,0
6310,43,"33,039",1,0,4,30,8,12,8,8,12,78,1,2,0,4,5,12,0
10832,63,"46,610",0,0,4,288,10,30,4,10,125,467,1,6,1,6,6,20,0
3025,63,"49,967",0,1,4,212,6,69,4,12,3,306,3,6,1,5,7,22,0
2404,45,"53,359",1,1,4,173,4,30,3,6,41,257,4,5,1,4,7,21,0
8581,50,"49,505",1,1,4,604,0,100,19,0,28,751,9,10,2,8,8,37,0
8755,75,"68,657",0,0,4,482,34,471,119,68,22,1196,1,3,5,9,7,25,0
10177,67,"72,071",0,1,4,531,69,300,150,138,150,1338,3,5,4,8,2,22,0
2429,67,"72,071",0,1,4,531,69,300,150,138,150,1338,3,5,4,8,2,22,0
8920,54,"59,235",1,0,4,448,40,469,80,0,91,1128,3,11,2,12,7,35,0
8430,64,"21,994",0,1,4,9,0,6,3,1,3,22,1,0,0,3,5,9,0
8619,64,"21,994",0,1,4,9,0,6,3,1,3,22,1,0,0,3,5,9,0
7233,49,"69,209",0,0,4,496,32,849,229,48,128,1782,2,5,3,6,4,20,1
6678,32,"31,928",1,0,5,33,4,24,4,2,5,72,2,3,0,4,7,16,0
830,34,"74,004",0,0,5,784,48,560,42,176,48,1658,1,4,6,4,3,18,1
6365,34,"30,390",0,0,5,10,12,12,25,1,20,80,1,2,0,3,6,12,0
6770,36,"21,355",1,0,5,5,13,14,0,5,31,68,2,2,1,2,6,13,1
2261,52,"26,304",1,0,5,4,1,5,2,0,4,16,1,1,0,2,7,11,0
1031,32,"85,710",0,0,5,600,20,350,29,30,33,1062,1,6,9,10,2,28,1
10089,47,"102,692",0,0,5,168,148,444,32,172,148,1112,1,6,9,13,2,31,1
9256,50,"58,350",0,1,5,493,26,206,116,80,80,1001,4,8,3,12,6,33,0
10641,43,"7,500",1,1,5,6,5,4,13,4,25,57,4,2,1,3,6,16,0
624,37,"18,890",0,0,5,6,4,1,7,2,15,35,1,0,1,2,6,10,1
4211,35,"20,425",1,0,5,4,12,5,3,16,17,57,2,2,0,3,7,14,0
1407,35,"20,425",1,0,5,4,12,5,3,16,17,57,2,2,0,3,7,14,0
10356,64,"41,437",1,1,5,29,0,2,0,0,1,32,1,1,0,3,7,12,0
9323,72,"49,912",0,1,5,520,8,223,32,49,42,874,4,10,5,7,8,34,1
1146,72,"49,912",0,1,5,520,8,223,32,49,42,874,4,10,5,7,8,34,1
6343,62,"79,823",0,1,6,835,73,380,114,73,43,1518,1,6,9,7,2,25,1
8545,67,"85,683",0,0,6,1296,17,311,45,69,51,1789,1,2,4,10,1,18,1
8275,56,"47,025",1,1,6,16,0,3,0,0,1,20,1,1,0,2,7,11,0
10673,45,"68,397",0,1,6,760,80,466,17,13,80,1416,1,6,9,5,3,24,0
8799,37,"38,175",1,0,6,70,6,69,2,3,3,153,3,3,1,4,7,18,0
67,49,"46,423",1,1,6,68,0,16,0,0,8,92,3,2,0,4,7,16,0
9923,49,"46,423",1,1,6,68,0,16,0,0,8,92,3,2,0,4,7,16,0
2814,45,"30,560",1,0,6,9,1,5,4,5,7,31,1,1,0,3,7,12,0
2711,45,"30,560",1,0,6,9,1,5,4,5,7,31,1,1,0,3,7,12,0
4320,42,"60,152",0,1,6,325,83,300,86,58,91,943,1,6,4,12,3,26,0
10451,56,"29,672",1,1,6,9,1,3,0,4,8,25,1,0,0,3,6,10,0
4198,56,"29,672",1,1,6,9,1,3,0,4,8,25,1,0,0,3,6,10,0
10814,74,"70,321",0,0,6,303,23,751,82,26,191,1376,1,6,5,13,4,29,0
944,59,"56,181",0,1,6,121,103,69,8,44,48,393,1,4,2,7,4,18,0
8151,31,"24,279",0,0,6,16,36,21,20,62,108,263,1,4,1,3,8,17,0
6184,52,"68,462",0,0,6,561,64,785,84,128,48,1670,1,3,3,8,1,16,0
3498,45,"55,424",0,1,6,462,61,184,10,53,107,877,4,7,5,9,6,31,1
2870,48,"49,094",0,1,6,376,0,38,11,8,69,502,5,6,3,6,6,26,0
7342,60,"59,184",0,1,6,341,142,113,259,151,66,1072,3,6,6,12,5,32,0
1911,34,"67,430",0,0,6,595,97,291,127,133,121,1364,1,11,5,12,6,35,0
10862,61,"30,522",0,1,6,179,8,83,19,11,26,326,5,1,2,9,2,19,0
2546,44,"31,878",0,1,7,23,4,5,10,5,23,70,1,1,0,4,3,9,0
3005,29,"83,528",0,0,7,530,117,678,134,44,147,1650,1,4,10,8,1,24,1
8318,42,"90,300",0,0,7,594,134,786,33,134,57,1738,0,5,6,8,1,20,1
